"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"1","Alabama","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Alabama","Group Call","3101","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"2","Alabama TAC","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Alabama TAC","Group Call","31019","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"3","Alabama Link","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Alabama Link","Group Call","31010","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"4","Gulf Coast, AL","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Gulf Coast, AL","Group Call","31011","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"5","Old Quadnet, AL","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Old Quadnet, AL","Group Call","31012","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"6","Alabama ALERT","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Alabama ALERT","Group Call","31013","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"7","Huntsville, Al","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Huntsville, Al","Group Call","31014","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"8","Central Alabama","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Central Alabama","Group Call","31015","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"9","Northwest AL","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","Northwest AL","Group Call","31016","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"10","East Alabama","438.80000","438.80000","D-Digital","Low","12.5K","Off","Off","East Alabama","Group Call","31017","My Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
